country,product,date,gross_production_value
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2016,36997
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2017,36867
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2018,35720
Algeria,Sorghum,2015,446
Algeria,Sorghum,2016,1500
Algeria,Sorghum,2017,833
Algeria,Sorghum,2018,606
Algeria,Sunflower seed,2015,39
Algeria,Sunflower seed,2016,40
Algeria,Sunflower seed,2017,41
Algeria,Sunflower seed,2018,42
Algeria,"Tangerines, mandarins, clementines",2015,312894
Algeria,"Tangerines, mandarins, clementines",2016,279301
Algeria,"Tangerines, mandarins, clementines",2017,298986
Algeria,"Tangerines, mandarins, clementines",2018,313413
Algeria,Tomatoes,2015,597310
Algeria,Tomatoes,2016,657260
Algeria,Tomatoes,2017,660194
Algeria,Tomatoes,2018,672234
Algeria,Triticale,2016,49
Algeria,Triticale,2017,11
Algeria,Triticale,2018,77
Algeria,Unmanufactured tobacco,2015,2157
Algeria,Unmanufactured tobacco,2016,2412
Algeria,Unmanufactured tobacco,2017,2523
Algeria,Unmanufactured tobacco,2018,2619
Algeria,Vetches,2015,21
Algeria,Vetches,2016,21
Algeria,Vetches,2017,21
Algeria,Vetches,2018,21
Algeria,Watermelons,2015,709986
Algeria,Watermelons,2016,734733
Algeria,Watermelons,2017,740053
Algeria,Watermelons,2018,820068
Algeria,Wheat,2015,1254456
Algeria,Wheat,2016,1152166
Algeria,Wheat,2017,1150469
Algeria,Wheat,2018,1879853
Angola,Avocados,2015,39384
Angola,Avocados,2016,40223
Angola,Avocados,2017,26994
Angola,Avocados,2018,27595
Angola,Bananas,2015,979920
Angola,Bananas,2016,1013519
Angola,Bananas,2017,1067313
Angola,Bananas,2018,1077694
Angola,"Beans, dry",2015,476410
Angola,"Beans, dry",2016,478375
Angola,"Beans, dry",2017,402499
Angola,"Beans, dry",2018,399335
Angola,Cabbages,2015,121626
Angola,Cabbages,2016,94933
Angola,Cabbages,2017,100706
Angola,Cabbages,2018,104498
Angola,Carrots and turnips,2016,81701
Angola,Carrots and turnips,2017,86101
Angola,Carrots and turnips,2018,89354
Angola,"Cassava, fresh",2015,1520671
Angola,"Cassava, fresh",2016,1558811
Angola,"Cassava, fresh",2017,1638613
Angola,"Cassava, fresh",2018,1718071
Angola,"Coffee, green",2015,10376
Angola,"Coffee, green",2016,10154
Angola,"Coffee, green",2017,9368
Angola,"Coffee, green",2018,9150
Angola,Green garlic,2018,10744
Angola,"Groundnuts, excluding shelled",2015,186613
Angola,"Groundnuts, excluding shelled",2016,188759
Angola,"Groundnuts, excluding shelled",2017,151898
Angola,"Groundnuts, excluding shelled",2018,148104
Angola,Maize (corn),2015,614482
Angola,Maize (corn),2016,732305
Angola,Maize (corn),2017,778781
Angola,Maize (corn),2018,904665
Angola,"Mangoes, guavas and mangosteens",2015,230884
Angola,"Mangoes, guavas and mangosteens",2016,252507
Angola,"Mangoes, guavas and mangosteens",2017,250171
Angola,"Mangoes, guavas and mangosteens",2018,266766
Angola,Millet,2015,9280
Angola,Millet,2016,10429
Angola,Millet,2017,11546
Angola,Millet,2018,11183
Angola,"Other vegetables, fresh n.e.c.",2015,62620
Angola,"Other vegetables, fresh n.e.c.",2016,62848
Angola,"Other vegetables, fresh n.e.c.",2017,63080
Angola,"Other vegetables, fresh n.e.c.",2018,63327
Angola,Pineapples,2015,398722
Angola,Pineapples,2016,407608
Angola,Pineapples,2017,346362
Angola,Pineapples,2018,348119
Angola,Potatoes,2015,239106
Angola,Potatoes,2016,239782
Angola,Potatoes,2017,164939
Angola,Potatoes,2018,163877
Angola,Raw milk of cattle,2015,89250
Angola,Raw milk of cattle,2016,90436
Angola,Raw milk of cattle,2017,89052
Angola,Raw milk of cattle,2018,88759
Angola,Rice,2015,16948
Angola,Rice,2016,9190
Angola,Rice,2017,3525
Angola,Rice,2018,3627
Angola,Sorghum,2015,12592
Angola,Sorghum,2016,14153
Angola,Sorghum,2017,8566
Angola,Sorghum,2018,10185
